"Date","BTC Market Cap","ETH Market Cap","Top 10 (Without BTC & ETH)","Others"
"2025-04-28","63.604650%","7.320418%","19.890906%","9.184026%"
"2025-04-29","63.471430%","7.358829%","19.836576%","9.333166%"
"2025-04-30","62.782663%","7.266565%","19.519415%","10.431357%"
"2025-05-01","64.916246%","7.525272%","19.888989%","7.669493%"
"2025-05-02","65.164747%","7.532412%","19.845205%","7.457635%"
"2025-05-03","63.281856%","7.357095%","19.369556%","9.991493%"
"2025-05-04","62.130179%","7.239208%","19.107456%","11.523157%"
"2025-05-05","62.993213%","7.357052%","19.348057%","10.301678%"
"2025-05-06","65.293372%","7.447037%","19.695497%","7.564094%"
"2025-05-07","65.194383%","7.399174%","19.572016%","7.834427%"
"2025-05-08","68.298878%","8.848705%","20.350634%","2.501783%"
"2025-05-09","68.117726%","9.418728%","20.798599%","1.664947%"
"2025-05-10","64.128439%","9.626454%","19.880508%","6.364598%"
"2025-05-11","63.202979%","9.256082%","19.250449%","8.290490%"
"2025-05-12","60.751548%","8.951116%","19.125947%","11.171389%"
"2025-05-13","62.213236%","9.727733%","19.650660%","8.408371%"
"2025-05-14","62.009475%","9.478904%","19.395817%","9.115803%"
"2025-05-15","60.858588%","9.075853%","18.496440%","11.569120%"
"2025-05-16","61.475527%","9.155228%","18.743485%","10.625760%"
"2025-05-17","61.852680%","9.017517%","18.731875%","10.397929%"
"2025-05-18","63.819176%","9.059118%","19.197567%","7.924138%"
"2025-05-19","63.947087%","9.307130%","19.098849%","7.646934%"
"2025-05-20","63.113366%","9.064421%","18.637827%","9.184386%"
"2025-05-21","65.098458%","9.224773%","19.144019%","6.532750%"
"2025-05-22","65.751660%","9.521888%","19.438274%","5.288178%"
"2025-05-23","61.815785%","8.844500%","18.424100%","10.915615%"
"2025-05-24","60.634204%","8.646780%","18.183884%","12.535133%"
"2025-05-25","63.752019%","9.069472%","19.066072%","8.112436%"
"2025-05-26","63.679483%","9.065675%","18.874374%","8.380468%"
"2025-05-27","62.887086%","9.329830%","18.754456%","9.028627%"
"2025-05-28","62.163875%","9.381200%","18.540689%","9.914236%"
"2025-05-29","60.640118%","9.179519%","18.125364%","12.054999%"
"2025-05-30","60.144141%","8.879608%","17.759726%","13.216525%"
"2025-05-31","61.894038%","9.089102%","18.227930%","10.788930%"
"2025-06-01","64.054273%","9.343971%","18.766125%","7.835631%"
"2025-06-02","63.781070%","9.540468%","18.785345%","7.893117%"
"2025-06-03","62.985215%","9.413126%","18.669227%","8.932433%"
"2025-06-04","62.285009%","9.423832%","18.462711%","9.828448%"
"2025-06-05","60.599894%","8.759148%","17.950935%","12.690023%"
"2025-06-06","62.534345%","9.024344%","18.254167%","10.187145%"
"2025-06-07","65.670893%","9.540067%","19.163430%","5.625611%"
"2025-06-08","64.208654%","9.257077%","18.907282%","7.626987%"
"2025-06-09","66.051815%","9.744327%","19.122787%","5.081071%"
"2025-06-10","65.950664%","10.209771%","19.309096%","4.530468%"
"2025-06-11","62.402538%","9.680981%","18.324303%","9.592179%"
"2025-06-12","60.261845%","9.159136%","17.755587%","12.823432%"
"2025-06-13","61.219029%","9.037860%","17.930036%","11.813076%"
"2025-06-14","62.626825%","9.136690%","18.267610%","9.968874%"
"2025-06-15","62.905815%","9.218992%","18.550589%","9.324604%"
"2025-06-16","64.336217%","9.368566%","18.906638%","7.388580%"
"2025-06-17","62.668119%","9.140060%","18.480850%","9.710972%"
"2025-06-18","62.025424%","9.067264%","18.209651%","10.697662%"
"2025-06-19","63.444880%","9.279664%","18.602673%","8.672783%"
"2025-06-20","62.451125%","8.832763%","18.206613%","10.509499%"
"2025-06-21","61.653288%","8.408036%","17.916009%","12.022667%"
"2025-06-22","62.275958%","8.345189%","18.120291%","11.258562%"
"2025-06-23","66.424647%","9.259137%","19.298303%","5.017912%"
"2025-06-24","67.561739%","9.466731%","19.617251%","3.354278%"
"2025-06-25","64.991052%","8.891529%","18.609090%","7.508329%"
"2025-06-26","64.416489%","8.829525%","18.225092%","8.528894%"
"2025-06-27","64.177936%","8.819205%","18.321396%","8.681462%"
"2025-06-28","64.773815%","8.927072%","18.727551%","7.571562%"
"2025-06-29","65.104677%","9.127553%","18.838359%","6.929410%"
"2025-06-30","63.949530%","9.013257%","18.787678%","8.249535%"
"2025-07-01","62.276152%","8.611048%","18.163500%","10.949301%"
"2025-07-02","64.797672%","9.310147%","18.761757%","7.130424%"
"2025-07-03","66.478269%","9.536206%","19.225563%","4.759961%"
"2025-07-04","63.284025%","8.919423%","18.313739%","9.482813%"
"2025-07-05","63.082670%","8.908659%","18.240760%","9.767911%"
"2025-07-06","64.638494%","9.238660%","18.782426%","7.340420%"
"2025-07-07","63.817306%","9.095230%","18.586817%","8.500647%"
"2025-07-08","63.757567%","9.290788%","18.594388%","8.357257%"
"2025-07-09","65.648150%","9.924992%","19.147767%","5.279091%"
"2025-07-10","67.577189%","10.440930%","19.513425%","2.468456%"
"2025-07-11","66.795400%","10.201487%","19.504354%","3.498758%"
"2025-07-12","63.795134%","9.701832%","18.629650%","7.873383%"
"2025-07-13","63.958552%","9.693028%","18.675086%","7.673334%"
"2025-07-14","64.808968%","9.888403%","18.936249%","6.366381%"
"2025-07-15","62.476020%","10.087975%","18.556871%","8.879134%"
"2025-07-16","62.526129%","10.759702%","18.918749%","7.795421%"
"2025-07-17","63.198978%","11.180984%","19.888183%","5.731854%"
"2025-07-18","61.250776%","11.178878%","19.498073%","8.072272%"
"2025-07-19","60.171830%","11.134723%","19.238891%","9.454556%"
"2025-07-20","60.136166%","11.707378%","19.728934%","8.427522%"
"2025-07-21","60.029028%","11.667403%","20.017405%","8.286164%"
"2025-07-22","60.826212%","11.522968%","20.103854%","7.546967%"
"2025-07-23","59.777665%","11.097170%","18.954934%","10.170232%"
"2025-07-24","58.777549%","11.168171%","18.493992%","11.560288%"
"2025-07-25","59.992954%","11.526141%","19.165363%","9.315542%"
"2025-07-26","60.247854%","11.596605%","19.246401%","8.909139%"
"2025-07-27","61.098427%","12.019875%","19.681053%","7.200644%"
"2025-07-28","60.029627%","11.693245%","19.148985%","9.128143%"
"2025-07-29","58.945328%","11.500732%","18.729266%","10.824674%"
